?cls	?def	?xrefs
<https://w3id.org/pmd/co/PMD_0000014>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000229>	"Measurement method using visible light to analyse the property of a substance"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000577>	"that component of an applied normal stress which is in quadrature (90° out of phase) with the normal strain, divided by the strain"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000578>	"Maß für die Steifigkeit unter definierten Bedingungen bei Verformung"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000200>	"The degree to which two or more quantities or events are associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others. The collelation can be described by mathematical functions  (often a linear function is used). It’s a common tool for describing simple relationships without making a statement about cause and effect."@en	
<http://purl.obolibrary.org/obo/CHEBI_17514>	"A pseudohalide anion that is the conjugate base of hydrogen cyanide."@en	"PDBeChem:CYN PMID:14871577 Wikipedia:Cyanide CAS:57-12-5 Beilstein:1900509 KEGG:C00177 PMID:7839575 Gmelin:89 PMID:11386635 HMDB:HMDB0002084 MetaCyc:CPD-13584 PMID:17554165 Reaxys:1900509"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000564>	"Als kinematische Viskosität bezeichnet man den Quotienten aus der dynamischen Viskosität des Mediums und seiner Dichte"@de	
<http://purl.obolibrary.org/obo/CHEBI_33377>	"A lanthanoid atom that has formula Dy."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000314>	"A saturated long-chain fatty acid with an 18-carbon backbone. Stearic acid is found in various animal and plant fats, and is a major component of cocoa butter and shea butter."@en	
<http://purl.obolibrary.org/obo/BFO_0000018>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000559>	"Menge in Gramm an adsorbiertem Iod pro Kilogramm Ruß unter definierten Bedingungen"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000065>	"Optimizers are algorithms or methods used to solve optimization problems by minimize an error function (loss function) or to maximize the efficiency of production. Optimizers are mathematical functions which are dependent on model's learnable parameters i.e Weights & Biases."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000468>		
<https://w3id.org/pmd/co/PMD_0000583>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000601>	"Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s)."@en	
<https://w3id.org/pmd/co/PMD_0001017>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000341>	"machine with two counter-rotating rolls, frequently heated or cooled, usually driven at different speeds, and having an adjustable nip for mastication, mixing, blending, warm-up or sheeting"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000444>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000311>		
<http://purl.obolibrary.org/obo/CHEBI_25555>	"A pnictogen that has formula N."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000059>	"Pattern recognition is the automated recognition of patterns and regularities in data. Pattern recognition has its origins in statistics and engineering; some modern approches include the use of machine learning, due to the increased availability of big data and a new abundance of processing power."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000078>	"The act of validating; finding or testing the truth of something."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000271>	"A chemical subunit that can undergo polymerization by bonding to other subunits."@en	
