?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0000928>	<http://www.w3.org/2000/01/rdf-schema#label>	"shear testing machine"@en	
<https://w3id.org/pmd/co/PMD_0000928>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schubprüfmaschine"@de	
<https://w3id.org/pmd/co/PMD_0000819>	<http://www.w3.org/2000/01/rdf-schema#label>	"light microscopy"@en	
<https://w3id.org/pmd/co/PMD_0000819>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lichtmikroskopie"@de	
<https://w3id.org/pmd/co/PMD_0000537>	<http://www.w3.org/2000/01/rdf-schema#label>	"brinell hardness"@en	
<https://w3id.org/pmd/co/PMD_0000937>	<http://www.w3.org/2000/01/rdf-schema#label>	"soldering device"@en	
<https://w3id.org/pmd/co/PMD_0000937>	<http://www.w3.org/2000/01/rdf-schema#label>	"Lötgerät"@de	
<http://purl.obolibrary.org/obo/CHEBI_32594>	<http://www.w3.org/2000/01/rdf-schema#label>	"barium atom"	
<https://w3id.org/pmd/co/PMD_0020183>	<http://www.w3.org/2000/01/rdf-schema#label>	"stretch straightener machine"@en	
<https://w3id.org/pmd/co/PMD_0020183>	<http://www.w3.org/2000/01/rdf-schema#label>	"Recker"@de	
<https://w3id.org/pmd/co/PMD_0020207>	<http://www.w3.org/2000/01/rdf-schema#label>	"amount of substance"@en	
<https://w3id.org/pmd/co/PMD_0000611>	<http://www.w3.org/2000/01/rdf-schema#label>	"dimension measuring process"@en	
<https://w3id.org/pmd/co/PMD_0000611>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dimensions Messprozess"@de	
<https://w3id.org/pmd/co/PMD_0020128>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermodynamic system"@en	
<https://w3id.org/pmd/co/PMD_0000973>	<http://www.w3.org/2000/01/rdf-schema#label>	"tensile testing machine"@en	
<https://w3id.org/pmd/co/PMD_0000973>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zugprüfmaschine"@de	
<https://w3id.org/pmd/co/PMD_0050072>	<http://www.w3.org/2000/01/rdf-schema#label>	"titanium diboride ceramic"@en	
<http://purl.obolibrary.org/obo/CHEBI_194531>	<http://www.w3.org/2000/01/rdf-schema#label>	"flerovium atom"	
<https://w3id.org/pmd/co/PMD_0020154>	<http://www.w3.org/2000/01/rdf-schema#label>	"precipitation (phase)"@en	
<http://purl.obolibrary.org/obo/CHEBI_33390>	<http://www.w3.org/2000/01/rdf-schema#label>	"curium atom"	
<https://w3id.org/pmd/co/PMD_0000944>	<http://www.w3.org/2000/01/rdf-schema#label>	"spectrometer"@en	
<https://w3id.org/pmd/co/PMD_0000944>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spektrometer"@de	
<https://w3id.org/pmd/co/PMD_0050007>	<http://www.w3.org/2000/01/rdf-schema#label>	"high-density polyethylene"@en	
<http://purl.obolibrary.org/obo/OBI_0302911>	<http://www.w3.org/2000/01/rdf-schema#label>	"validation"@en	
<https://w3id.org/pmd/co/PMD_0020114>	<http://www.w3.org/2000/01/rdf-schema#label>	"medium role"@en	
<https://w3id.org/pmd/co/PMD_0020079>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of arsenic"@en	
<https://w3id.org/pmd/co/PMD_0000780>	<http://www.w3.org/2000/01/rdf-schema#label>	"heat treatment device"@en	
<https://w3id.org/pmd/co/PMD_0000780>	<http://www.w3.org/2000/01/rdf-schema#label>	"Wärmebehandlungsgerät"@de	
<https://w3id.org/pmd/co/PMD_0050053>	<http://www.w3.org/2000/01/rdf-schema#label>	"fritted ceramic"@en	
<http://purl.obolibrary.org/obo/CHEBI_33346>	<http://www.w3.org/2000/01/rdf-schema#label>	"rutherfordium atom"	
<https://w3id.org/pmd/co/PMD_0020223>	<http://www.w3.org/2000/01/rdf-schema#label>	"vacancy diffusion"@en	
<https://w3id.org/pmd/co/PMD_0001040>	<http://www.w3.org/2000/01/rdf-schema#label>	"expriment designing process"@en	
<https://w3id.org/pmd/co/PMD_0050037>	<http://www.w3.org/2000/01/rdf-schema#label>	"polylactic acid"@en	
<https://w3id.org/pmd/co/PMD_0000638>	<http://www.w3.org/2000/01/rdf-schema#label>	"fatigue testing process"@en	
<https://w3id.org/pmd/co/PMD_0000638>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ermüdungsprüfverfahren"@de	
