?x	?p	?y
<https://w3id.org/pmd/co/PMD_0050101>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_30563>
<https://w3id.org/pmd/co/PMD_0000780>	<http://purl.obolibrary.org/obo/RO_0000085>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid376
<https://w3id.org/pmd/co/PMD_0010101>	<http://purl.obolibrary.org/obo/RO_0002351>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0050124>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0000104>
<https://w3id.org/pmd/co/PMD_0010102>	<http://purl.obolibrary.org/obo/RO_0000086>	<https://w3id.org/pmd/co/PMD_0010026>
<https://w3id.org/pmd/co/PMD_0020050>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0090001>
<https://w3id.org/pmd/co/PMD_0000777>	<https://w3id.org/pmd/co/PMD_0001029>	<https://w3id.org/pmd/co/PMD_0000549>
<https://w3id.org/pmd/co/PMD_0000654>	<http://purl.obolibrary.org/obo/BFO_0000050>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid353
<https://w3id.org/pmd/co/PMD_0050140>	<http://purl.obolibrary.org/obo/RO_0000053>	<https://w3id.org/pmd/co/PMD_0000107>
<https://w3id.org/pmd/co/PMD_0020186>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020071>
<https://w3id.org/pmd/co/PMD_0050085>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000825>
<https://w3id.org/pmd/co/PMD_0000591>	<https://w3id.org/pmd/co/PMD_0000077>	<https://w3id.org/pmd/co/PMD_0020099>
<https://w3id.org/pmd/co/PMD_0000101>	<http://purl.obolibrary.org/obo/IAO_0000219>	<https://w3id.org/pmd/co/PMD_0000010>
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://purl.obolibrary.org/obo/OBI_0000293>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid128
<http://purl.obolibrary.org/obo/GO_0008150>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/BFO_0000015>
<https://w3id.org/pmd/co/PMD_0020232>	<http://purl.obolibrary.org/obo/RO_0002351>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1043
<https://w3id.org/pmd/co/PMD_0000877>	<http://purl.obolibrary.org/obo/BFO_0000054>	<https://w3id.org/pmd/co/PMD_0001008>
<https://w3id.org/pmd/co/PMD_0020230>	<http://purl.obolibrary.org/obo/RO_0000086>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid999
<https://w3id.org/pmd/co/PMD_0010012>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020068>
<http://purl.obolibrary.org/obo/OBI_0000571>	<http://purl.obolibrary.org/obo/RO_0000052>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid149
<https://w3id.org/pmd/co/PMD_0050088>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000111>
<https://w3id.org/pmd/co/PMD_0020229>	<http://purl.obolibrary.org/obo/RO_0002351>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid986
<https://w3id.org/pmd/co/PMD_0020187>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020054>
<https://w3id.org/pmd/co/PMD_0020237>	<http://purl.obolibrary.org/obo/RO_0000080>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1057
<https://w3id.org/pmd/co/PMD_0000798>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0025001>
<https://w3id.org/pmd/co/PMD_0050098>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0010025>
<http://purl.obolibrary.org/obo/IAO_0020000>	<http://purl.obolibrary.org/obo/IAO_0000219>	<http://purl.obolibrary.org/obo/BFO_0000001>
<https://w3id.org/pmd/co/PMD_0000868>	<http://purl.obolibrary.org/obo/RO_0002353>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid438
<http://purl.obolibrary.org/obo/OBI_0000260>	<http://purl.obolibrary.org/obo/RO_0000059>	<http://purl.obolibrary.org/obo/IAO_0000104>
<https://w3id.org/pmd/co/PMD_0000068>	<http://purl.obolibrary.org/obo/BFO_0000108>	<http://purl.obolibrary.org/obo/BFO_0000008>
<https://w3id.org/pmd/co/PMD_0020225>	<http://purl.obolibrary.org/obo/RO_0000057>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid962
<https://w3id.org/pmd/co/PMD_0050055>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020249>
<https://w3id.org/pmd/co/PMD_0020243>	<http://purl.obolibrary.org/obo/RO_0000080>	<https://w3id.org/pmd/co/PMD_0020106>
<https://w3id.org/pmd/co/PMD_0050040>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0000113>
<https://w3id.org/pmd/co/PMD_0050092>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0010024>
<https://w3id.org/pmd/co/PMD_0010100>	<http://purl.obolibrary.org/obo/RO_0002351>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid547
<https://w3id.org/pmd/co/PMD_0000622>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000621>
<https://w3id.org/pmd/co/PMD_0050067>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020038>
<https://w3id.org/pmd/co/PMD_0000556>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0020101>
<https://w3id.org/pmd/co/PMD_0000666>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0020133>
<https://w3id.org/pmd/co/PMD_0000829>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000825>
<https://w3id.org/pmd/co/PMD_0000638>	<http://purl.obolibrary.org/obo/BFO_0000117>	<https://w3id.org/pmd/co/PMD_0025020>
<https://w3id.org/pmd/co/PMD_0050069>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020071>
<https://w3id.org/pmd/co/PMD_0000981>	<http://purl.obolibrary.org/obo/BFO_0000054>	<https://w3id.org/pmd/co/PMD_0000520>
<https://w3id.org/pmd/co/PMD_0025009>	<http://purl.obolibrary.org/obo/BFO_0000066>	<https://w3id.org/pmd/co/PMD_0000001>
<https://w3id.org/pmd/co/PMD_0020223>	<http://purl.obolibrary.org/obo/RO_0000057>	<https://w3id.org/pmd/co/PMD_0020224>
<https://w3id.org/pmd/co/PMD_0050138>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000825>
<https://w3id.org/pmd/co/PMD_0050056>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020071>
